task_id,activity_name,building,level,axis,discipline,activity_type,is_outdoor,planned_start,planned_finish,planned_duration_days,predecessor_count,is_critical_path,float_days,contractor_id,contractor_avg_delay_days,contract_type,season,material_delivery_status,crew_size,open_rfi_count,open_ncr_count,pending_submittal_count,actual_finish_date,delay_days,delay_category
ACT-00001,Contract Awarding,A1,---,---,Other,Construction,0,2024-01-31,2024-02-28,28,1,1,0,Vendor_B,1.7,Unit Price,Winter,Delivered,10,0,0,0,2024-03-03,3.5,On Time
ACT-00002,Start of Construction,A1,---,---,Other,Construction,0,2025-04-11,2025-04-24,13,3,0,4,Vendor_A,-2.4,Lump Sum,Spring,Delivered,18,0,1,2,2025-04-24,0.3,On Time
ACT-00003,Extension Works - CR Acceptance & Value Clearifications,A1,---,---,Other,Construction,0,2025-05-26,2025-06-05,10,4,1,0,Vendor_G,15.7,Lump Sum,Spring,Delivered,23,0,0,0,2025-06-18,13.0,Moderate
ACT-00004,Paintshop Foundations Completed (Axis 1-33),A1,---,---,Process,Construction,1,2024-12-02,2024-12-13,11,3,0,8,Vendor_B,0.8,Lump Sum,Winter,Delivered,10,0,0,0,2024-12-22,9.4,Mild
ACT-00005,Paintshop Roof and Façade Completed (Axis 1-35),A1,---,---,Process,Construction,1,2025-05-05,2025-05-11,6,5,0,3,Vendor_C,3.3,Lump Sum,Spring,Delivered,6,1,1,0,2025-05-21,10.1,Mild
ACT-00006,"Main Structure (Foundations, Precast Items, Steelworks)",A1,---,---,Civil,Construction,1,2024-02-29,2024-03-09,9,1,0,3,Vendor_E,8.4,Time & Material,Winter,Delivered,11,2,0,0,2024-04-01,23.2,Severe
ACT-00007,Floor Slab (Slab on Grade),A1,---,---,Civil,Construction,1,2024-05-17,2024-05-28,11,1,0,17,Vendor_D,4.7,Lump Sum,Spring,Delivered,8,2,1,1,2024-05-30,2.4,On Time
ACT-00008,Façade,A1,---,---,Architectural,Construction,1,2024-07-04,2024-07-17,13,3,0,22,Vendor_C,4.7,Time & Material,Summer,Ordered,16,1,0,0,2024-08-01,15.1,Moderate
ACT-00009,Temprorary Gates,A1,---,---,Other,Construction,1,2025-03-07,2025-03-10,3,6,0,8,Vendor_F,11.1,Unit Price,Spring,Delivered,13,2,0,1,2025-03-23,12.8,Moderate
ACT-00010,Temprorary Doors,A1,---,---,Architectural,Construction,1,2024-10-02,2024-10-12,10,2,1,0,Vendor_F,8.7,Lump Sum,Autumn,Delivered,18,0,0,0,2024-10-26,13.7,Moderate
